ID,Sprint,Commit sugerido,Tarea,Descripción,Alcance funcional,Complejidad,Responsable,Fecha inicio,Fecha fin,Estado,Dependencias
NEXA-026,Sprint 2 (sem 3-4),cd: deploy pipeline all apps,CD: despliegue de todas las apps,Pipeline de despliegue continuo para las 3 apps + landing + backend + Strapi al servidor. Al cerrar Sprint 2 el producto queda publicado.,Infraestructura / CD,Large,Omar,2026-07-27,2026-07-31,Por hacer,"NEXA-024,NEXA-025"
NEXA-027,Sprint 3 (sem 5-6),feat: strapi setup in apps/cms,Configurar Strapi en apps/cms,"Levantar Strapi en el monorepo (apps/cms), modelar tipos de contenido para formularios configurables y contenidos de usuario (catálogo, textos, imágenes).",CMS / contenidos,Large,Yo,2026-08-03,2026-08-07,Por hacer,NEXA-026
NEXA-028,Sprint 3 (sem 5-6),feat: strapi <-> backend integration,Integración Strapi con backend,"Conectar el backend a Strapi como fuente de definiciones de formularios y contenidos, respetando la frontera: Strapi=contenido, backend=estado operativo.",CMS / integración,Large,Omar,2026-08-03,2026-08-14,Por hacer,NEXA-027
NEXA-029,Sprint 3 (sem 5-6),feat: configurable forms end-to-end,Formularios configurables end-to-end,"Conectar el formulario definido en Strapi con el alta del comensal y la cola, de punta a punta (admin define -> cliente rellena).",App cliente + admin / formularios,Medium,Yo,2026-08-03,2026-08-14,Por hacer,NEXA-028
NEXA-030,Sprint 3 (sem 5-6),feat: catalog content from strapi,Catálogo con contenido de Strapi,"Migrar el catálogo de restaurantes para leer contenido editable desde Strapi (descripciones, imágenes, categorías).",App cliente / catálogo,Medium,Yo,2026-08-03,2026-08-14,Por hacer,"NEXA-027,NEXA-015"
NEXA-031,Sprint 3 (sem 5-6),feat: dynamic ETA from history,ETA dinámico con histórico,"Evolucionar el cálculo de ETA de sintético a dinámico, ajustando según la rotación real observada (tiempos entre seated_at).",Listas de espera / ETA,Medium,Omar,2026-08-03,2026-08-14,Por hacer,NEXA-022
NEXA-032,Sprint 3 (sem 5-6),feat: sms/whatsapp via twilio,Notificaciones SMS/WhatsApp (Twilio),"Integrar Twilio para SMS y WhatsApp como canal de pago, con enrutado según el plan del restaurante.",Notificaciones / pago,Large,Omar,2026-08-03,2026-08-14,Por hacer,NEXA-023
NEXA-033,Sprint 3 (sem 5-6),feat: external apis & social integration,Integración con redes y APIs externas,"Integraciones externas (redes sociales, APIs de terceros según se prioricen) para compartir/enlazar contenido y catálogo.",Integraciones externas,Medium,Yo,2026-08-10,2026-08-14,Por hacer,NEXA-027
NEXA-034,Sprint 3 (sem 5-6),refactor: architecture review,Revisión de arquitectura,"Revisar la implementación contra las reglas DDD y la frontera Strapi/backend, refactorizar deuda técnica detectada tras la publicación.",Arquitectura / calidad,Medium,Omar,2026-08-10,2026-08-14,Por hacer,NEXA-029
NEXA-035,Sprint 3 (sem 5-6),fix: bug fixes & correctives buffer,Correctivos y bug fixes (colchón),"Bloque reservado para correctivos sobre lo publicado: bugs, ajustes de UX, estabilización. Colchón intencional del Sprint 3.",Calidad / estabilización,Large,Yo,2026-08-03,2026-08-14,Por hacer,NEXA-026
NEXA-036,Sprint 3 (sem 5-6),feat: content & ux improvements,Mejoras de contenido y UX,"Pulido de contenido (textos, imágenes vía Strapi) y mejoras de experiencia detectadas en el uso real.",Contenido / UX,Medium,Yo,2026-08-10,2026-08-14,Por hacer,NEXA-026
NEXA-037,Sprint 3 (sem 5-6),test: e2e critical flows,Pruebas E2E de flujos críticos,"Automatizar pruebas de extremo a extremo de los flujos clave: alta, espera, avisar/sentar, notificaciones.",Calidad / testing,Medium,Omar,2026-08-10,2026-08-14,Por hacer,NEXA-030
NEXA-038,Cierre desarrollo (sem 7-8),chore: hardening & polish,Estabilización y pulido final,"Semana de colchón: cerrar pendientes, endurecer seguridad, revisar rendimiento y dejar el producto listo para clientes.",Calidad / cierre,Medium,Yo,2026-08-17,2026-08-28,Por hacer,-
NEXA-039,Cierre desarrollo (sem 7-8),docs: onboarding & privacy,Documentación y aviso de privacidad,Preparar material de onboarding para restaurantes y publicar aviso de privacidad y términos (LFPDPPP). Revisión legal recomendada.,Legal / onboarding,Small,Yo,2026-08-17,2026-08-28,Por hacer,-
NEXA-040,Cierre desarrollo (sem 7-8),chore: monitoring & backups,Monitoreo y respaldos,"Configurar monitoreo básico, logs y respaldos de la base de datos en el servidor de producción.",Infraestructura / operación,Medium,Omar,2026-08-17,2026-08-28,Por hacer,NEXA-026
NEXA-041,Clientes (sem 9-10),-,Preparar material de venta,Afinar one-pager y demo del producto ya publicado para prospectar restaurantes.,Comercial / ventas,Small,Yo,2026-08-31,2026-09-04,Por hacer,NEXA-036
NEXA-042,Clientes (sem 9-10),-,Búsqueda y contacto de clientes,"Prospección activa de restaurantes: contacto, demos y cierre del primer piloto.",Comercial / ventas,Large,Yo,2026-08-31,2026-09-11,Por hacer,NEXA-038
NEXA-043,Clientes (sem 9-10),-,Onboarding primer restaurante,"Configurar el primer restaurante real en la plataforma (colas, formulario, QR) y capacitar a su equipo.",Comercial / onboarding,Medium,Omar,2026-09-07,2026-09-11,Por hacer,NEXA-039
NEXA-044,Testing controlado (sem 11-12),-,Testing controlado en operación real,"Operar con el primer restaurante en condiciones reales, monitorear y recoger feedback e incidencias.",Validación / piloto,Large,Omar,2026-09-14,2026-09-25,Por hacer,NEXA-040
NEXA-045,Testing controlado (sem 11-12),fix: correctives from pilot,Correctivos del piloto,Resolver bugs y ajustes surgidos del testing controlado con el primer cliente.,Calidad / piloto,Medium,Yo,2026-09-14,2026-09-25,Por hacer,NEXA-041
NEXA-046,Testing controlado (sem 11-12),-,Cierre y aprendizajes del piloto,"Documentar aprendizajes, métricas del piloto y siguientes pasos para escalar a más restaurantes.",Validación / cierre,Small,Yo,2026-09-21,2026-09-25,Por hacer,NEXA-041
